2024-11-06T12:12:50:519 [warning]: There is no GitLab account available with access to suggestions
2024-11-06T12:12:50:563 [info]: Extracted urls: []
2024-11-06T12:12:50:588 [info]: Found 0 projects for urls: []
2024-11-06T12:16:25:937 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:26:937 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:27:937 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:28:938 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:29:939 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:30:939 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:31:940 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:32:941 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:33:942 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:34:942 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:35:943 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:36:943 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:37:944 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:38:944 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:39:945 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:40:945 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:41:947 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:42:947 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:43:948 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:44:948 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:45:949 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:46:950 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:47:952 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:48:953 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:49:500 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:49:953 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:50:954 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:51:955 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:52:956 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:53:958 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:54:960 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:55:960 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:56:959 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:57:960 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:58:960 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:59:961 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:00:961 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:01:962 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:02:964 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:03:965 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:04:965 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:05:965 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:06:966 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:07:967 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:08:969 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:09:971 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:10:972 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:11:973 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:12:974 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:13:976 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:14:977 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:15:978 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:16:979 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:17:979 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:18:980 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:19:501 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:19:980 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:20:981 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:21:981 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:22:982 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:23:984 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:24:985 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:25:986 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:26:987 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:27:989 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:28:990 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:29:992 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:30:993 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:31:994 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:32:996 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:33:997 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:34:999 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:36:000 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:37:001 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:38:003 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:39:004 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:40:005 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:41:005 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:42:006 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:43:008 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:44:009 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:45:010 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:46:012 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:47:012 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:48:013 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:49:014 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:53:017 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:54:018 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:55:019 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:56:020 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:57:020 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:58:021 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:17:59:022 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:00:023 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:01:024 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:02:025 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:03:026 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:04:027 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:05:028 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:06:028 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:07:029 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:08:030 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:09:031 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:10:033 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:11:034 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:12:035 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:13:037 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:18:14:037 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
